timestamp,cnt
1619254800,1.0236666667e+01
1619255100,9.9533333333e+00
1619255400,9.9533333333e+00
1619255700,1.0030000000e+01
1619256000,1.0260000000e+01
1619256300,1.0010000000e+01
1619256600,9.9366666667e+00
1619256900,1.0186666667e+01
1619257200,1.0200000000e+01
1619257500,9.8033333333e+00
1619257800,1.0003333333e+01
1619258100,1.0140000000e+01
1619258400,1.0190000000e+01
1619258700,9.6966666667e+00
1619259000,1.0176666667e+01
1619259300,1.0060000000e+01
1619259600,1.0110000000e+01
1619259900,1.0040000000e+01
1619260200,9.9400000000e+00
1619260500,1.0153333333e+01
1619260800,1.0243333333e+01
1619261100,9.9366666667e+00
1619261400,1.0020000000e+01
1619261700,1.0076666667e+01
1619262000,1.0190000000e+01
1619262300,9.7166666667e+00
1619262600,1.0160000000e+01
1619262900,1.0026666667e+01
1619263200,9.9500000000e+00
1619263500,9.8000000000e+00
1619263800,1.0183333333e+01
1619264100,9.9766666667e+00
1619264400,9.8366666667e+00
1619264700,1.0056666667e+01
1619265000,9.9066666667e+00
1619265300,1.0200000000e+01
1619265600,1.0186666667e+01
1619265900,9.9566666667e+00
1619266200,1.0116666667e+01
1619266500,9.7666666667e+00
1619266800,9.9900000000e+00
1619267100,1.0033333333e+01
1619267400,1.0103333333e+01
1619267700,1.0176666667e+01
1619268000,9.8766666667e+00
1619268300,9.6366666667e+00
1619268600,1.0470000000e+01
1619268900,1.0310000000e+01
1619269200,9.8633333333e+00
1619269500,1.0230000000e+01
1619269800,1.0103333333e+01
1619270100,1.0160000000e+01
1619270400,9.9700000000e+00
1619270700,1.0116666667e+01
1619271000,9.7600000000e+00
1619271300,9.7900000000e+00
1619271600,1.0213333333e+01
1619271900,1.0046666667e+01
1619272200,9.8800000000e+00
1619272500,1.0076666667e+01
1619272800,1.0000000000e+01
1619273100,1.0163333333e+01
1619273400,1.0233333333e+01
1619273700,1.0166666667e+01
1619274000,1.0380000000e+01
1619274300,9.9800000000e+00
1619274600,1.0006666667e+01
1619274900,1.0023333333e+01
1619275200,1.0153333333e+01
1619275500,9.9633333333e+00
1619275800,9.8266666667e+00
1619276100,9.9533333333e+00
1619276400,1.0223333333e+01
1619276700,9.9233333333e+00
1619277000,9.9766666667e+00
1619277300,1.0093333333e+01
1619277600,9.8433333333e+00
1619277900,1.0080000000e+01
1619278200,9.9500000000e+00
1619278500,9.9200000000e+00
1619278800,1.0083333333e+01
