timestamp,cnt
1619255100,7.4413333333e+01
1619255400,6.2510000000e+01
1619255700,6.3700000000e+01
1619256000,6.3436666667e+01
1619256300,6.2240000000e+01
1619256600,6.0840000000e+01
1619256900,6.4760000000e+01
1619257200,6.3436666667e+01
1619257500,6.2666666667e+01
1619257800,6.1830000000e+01
1619258100,7.2850000000e+01
1619258400,6.4526666667e+01
1619258700,7.3100000000e+01
1619259000,6.3210000000e+01
1619259300,6.3763333333e+01
1619259600,6.3790000000e+01
1619259900,6.2080000000e+01
1619260200,6.1460000000e+01
1619260500,6.4533333333e+01
1619260800,6.2930000000e+01
1619261100,6.1956666667e+01
1619261400,6.2090000000e+01
1619261700,7.2580000000e+01
1619262000,6.3623333333e+01
1619262300,7.1943333333e+01
1619262600,6.2710000000e+01
1619262900,6.2896666667e+01
1619263200,6.1603333333e+01
1619263500,6.1346666667e+01
1619263800,6.3030000000e+01
1619264100,6.3340000000e+01
1619264400,6.1623333333e+01
1619264700,6.3113333333e+01
1619265000,6.1930000000e+01
1619265300,7.3156666667e+01
1619265600,6.3206666667e+01
1619265900,7.4246666667e+01
1619266200,6.3936666667e+01
1619266500,6.2390000000e+01
1619266800,6.2390000000e+01
1619267100,6.4343333333e+01
1619267400,6.2333333333e+01
1619267700,6.3873333333e+01
1619268000,6.2233333333e+01
1619268300,6.1523333333e+01
1619268600,6.7613333333e+01
1619268900,7.4350000000e+01
1619269200,6.1040000000e+01
1619269500,7.7860000000e+01
1619269800,6.2530000000e+01
1619270100,6.3986666667e+01
1619270400,6.1746666667e+01
1619270700,2.0077333333e+02
1619271000,6.0046666667e+01
1619271300,6.1203333333e+01
1619271600,6.3096666667e+01
1619271900,6.2950000000e+01
1619272200,7.0486666667e+01
1619272500,7.2176666667e+01
1619272800,6.2133333333e+01
1619273100,7.5526666667e+01
1619273400,6.3600000000e+01
1619273700,6.4190000000e+01
1619274000,8.5903333333e+01
1619274300,6.2416666667e+01
1619274600,6.3393333333e+01
1619274900,6.3373333333e+01
1619275200,6.2723333333e+01
1619275500,6.2820000000e+01
1619275800,6.1053333333e+01
1619276100,7.1216666667e+01
1619276400,6.3376666667e+01
1619276700,8.3240000000e+01
1619277000,6.5203333333e+01
1619277300,6.3900000000e+01
1619277600,6.1576666667e+01
1619277900,6.2753333333e+01
1619278200,6.1193333333e+01
1619278500,6.2433333333e+01
1619278800,6.3410000000e+01
1619279100,6.3756666667e+01
1619279400,6.1480000000e+01
1619279700,7.3353333333e+01
1619280000,6.2376666667e+01
1619280300,7.1740000000e+01
1619280600,9.4233333333e+01
1619280900,6.2766666667e+01
1619281200,6.2310000000e+01
1619281500,6.4276666667e+01
1619281800,6.3503333333e+01
1619282100,6.5526666667e+01
1619282400,6.3113333333e+01
1619282700,6.2793333333e+01
1619283000,6.1690000000e+01
1619283300,7.2030000000e+01
1619283600,6.2123333333e+01
1619283900,7.2013333333e+01
1619284200,6.6780000000e+01
1619284500,6.5353333333e+01
1619284800,6.1236666667e+01
1619285100,6.1576666667e+01
1619285400,6.1780000000e+01
1619285700,6.6003333333e+01
1619286000,7.2350000000e+01
1619286300,6.4356666667e+01
1619286600,6.1510000000e+01
1619286900,7.9646666667e+01
1619287200,6.1836666667e+01
1619287500,2.8773000000e+03
1619287800,1.5664170000e+04
1619288100,3.3844266667e+03
1619288400,6.0306666667e+01
1619288700,6.2883333333e+01
1619289000,6.2116666667e+01
1619289300,6.2913333333e+01
1619289600,6.2443333333e+01
1619289900,6.3256666667e+01
1619290200,6.5956666667e+01
1619290500,7.7453333333e+01
1619290800,6.9013333333e+01
1619291100,7.2516666667e+01
1619291400,6.6383333333e+01
1619291700,6.6240000000e+01
1619292000,6.1693333333e+01
1619292300,6.4990000000e+01
1619292600,2.0711000000e+02
1619292900,6.6316666667e+01
1619293200,6.2986666667e+01
1619293500,6.3070000000e+01
1619293800,6.5016666667e+01
1619294100,7.7026666667e+01
1619294400,6.4226666667e+01
1619294700,7.2683333333e+01
1619295000,6.9823333333e+01
1619295300,6.2256666667e+01
1619295600,6.0990000000e+01
1619295900,6.1476666667e+01
1619296200,6.2850000000e+01
1619296500,6.3330000000e+01
1619296800,6.0696666667e+01
1619297100,7.9440000000e+01
1619297400,6.2000000000e+01
1619297700,7.0143333333e+01
1619298000,6.4120000000e+01
1619298300,6.9910000000e+01
1619298600,6.7646666667e+01
1619298900,6.5203333333e+01
1619299200,6.2483333333e+01
1619299500,6.1120000000e+01
1619299800,6.3076666667e+01
1619300100,6.6793333333e+01
1619300400,6.2383333333e+01
1619300700,6.3960000000e+01
1619301000,6.0736666667e+01
1619301300,7.0150000000e+01
1619301600,6.1300000000e+01
1619301900,7.1753333333e+01
1619302200,6.8666666667e+01
1619302500,6.3333333333e+01
1619302800,6.0810000000e+01
1619303100,6.0243333333e+01
1619303400,6.2446666667e+01
1619303700,6.4503333333e+01
1619304000,6.2436666667e+01
1619304300,6.3070000000e+01
1619304600,6.1906666667e+01
1619304900,7.0080000000e+01
1619305200,6.2400000000e+01
1619305500,6.9626666667e+01
1619305800,1.6373033333e+03
1619306100,4.5654666667e+02
1619306400,4.7278766667e+03
1619306700,2.5709666667e+02
1619307000,6.1846666667e+01
1619307300,6.3676666667e+01
1619307600,6.2783333333e+01
1619307900,6.2453333333e+01
1619308200,6.1576666667e+01
1619308500,7.0736666667e+01
1619308800,6.1593333333e+01
1619309100,7.0533333333e+01
1619309400,6.4543333333e+01
1619309700,6.2783333333e+01
1619310000,6.2393333333e+01
1619310300,6.0020000000e+01
1619310600,5.9553333333e+01
1619310900,6.4486666667e+01
1619311200,6.1696666667e+01
1619311500,6.3300000000e+01
1619311800,6.0883333333e+01
1619312100,7.1836666667e+01
1619312400,6.3126666667e+01
1619312700,7.4930000000e+01
1619313000,1.1822696667e+04
1619313300,1.3087933333e+03
1619313600,6.1916666667e+01
1619313900,6.1113333333e+01
1619314200,6.0466666667e+01
1619314500,2.0208333333e+02
1619314800,6.3023333333e+01
1619315100,6.3973333333e+01
1619315400,6.1013333333e+01
1619315700,7.1806666667e+01
1619316000,6.4243333333e+01
1619316300,7.0123333333e+01
1619316600,6.5130000000e+01
1619316900,6.2726666667e+01
1619317200,6.1533333333e+01
1619317500,6.2373333333e+01
1619317800,6.0696666667e+01
1619318100,6.2870000000e+01
1619318400,6.1626666667e+01
1619318700,6.3143333333e+01
1619319000,6.1790000000e+01
1619319300,7.2043333333e+01
1619319600,6.3113333333e+01
1619319900,7.0223333333e+01
1619320200,6.6770000000e+01
1619320500,6.1813333333e+01
1619320800,6.1466666667e+01
1619321100,6.1080000000e+01
1619321400,6.1720000000e+01
1619321700,6.2420000000e+01
1619322000,6.1753333333e+01
1619322300,6.3273333333e+01
1619322600,6.1660000000e+01
1619322900,7.1103333333e+01
1619323200,6.1343333333e+01
1619323500,7.2296666667e+01
1619323800,6.7503333333e+01
1619324100,6.3576666667e+01
1619324400,6.1566666667e+01
1619324700,6.2766666667e+01
1619325000,6.9033333333e+01
1619325300,6.3673333333e+01
1619325600,8.4243333333e+01
1619325900,6.3350000000e+01
1619326200,6.1760000000e+01
1619326500,7.2243333333e+01
1619326800,6.2403333333e+01
1619327100,7.3300000000e+01
1619327400,6.3063333333e+01
1619327700,6.2216666667e+01
1619328000,6.1886666667e+01
1619328300,6.0403333333e+01
1619328600,6.0843333333e+01
1619328900,6.3820000000e+01
1619329200,6.2453333333e+01
1619329500,6.3603333333e+01
1619329800,6.1163333333e+01
1619330100,7.1970000000e+01
1619330400,7.4490000000e+01
1619330700,8.0606666667e+01
1619331000,6.2586666667e+01
1619331300,6.3206666667e+01
1619331600,6.2520000000e+01
1619331900,6.0106666667e+01
1619332200,6.1660000000e+01
1619332500,6.3413333333e+01
1619332800,6.0290000000e+01
1619333100,6.2510000000e+01
1619333400,6.0460000000e+01
1619333700,7.2880000000e+01
1619334000,6.2560000000e+01
1619334300,7.4866666667e+01
1619334600,6.0520000000e+01
1619334900,6.3916666667e+01
1619335200,6.1550000000e+01
1619335500,6.1490000000e+01
1619335800,6.0406666667e+01
1619336100,6.9261333333e+02
1619336400,2.0156333333e+02
1619336700,6.4333333333e+01
1619337000,6.0633333333e+01
1619337300,7.1370000000e+01
1619337600,6.1360000000e+01
1619337900,7.4953333333e+01
1619338200,6.1713333333e+01
1619338500,7.1473333333e+01
1619338800,6.2286666667e+01
1619339100,6.2393333333e+01
1619339400,6.2970000000e+01
1619339700,6.5233333333e+01
1619340000,6.2023333333e+01
1619340300,6.2766666667e+01
1619340600,6.1706666667e+01
1619340900,7.3236666667e+01
1619341200,6.3786666667e+01
1619341500,7.3783333333e+01
1619341800,6.2090000000e+01
1619342100,6.3320000000e+01
1619342400,6.1186666667e+01
1619342700,6.1073333333e+01
1619343000,1.2709000000e+02
1619343300,6.4183333333e+01
1619343600,6.2253333333e+01
1619343900,6.3316666667e+01
1619344200,6.2310000000e+01
1619344500,7.2743333333e+01
1619344800,3.4839333333e+02
1619345100,7.6513333333e+01
1619345400,6.3400000000e+01
1619345700,7.3320000000e+01
1619346000,6.4703333333e+01
1619346300,6.1436666667e+01
1619346600,6.1623333333e+01
1619346900,6.3920000000e+01
1619347200,6.0770000000e+01
1619347500,6.2356666667e+01
1619347800,6.1020000000e+01
1619348100,7.3466666667e+01
1619348400,6.1113333333e+01
1619348700,7.3473333333e+01
1619349000,6.1926666667e+01
1619349300,7.2846666667e+01
1619349600,6.1076666667e+01
1619349900,6.0510000000e+01
1619350200,6.0750000000e+01
1619350500,6.6876666667e+01
1619350800,6.1553333333e+01
1619351100,6.3350000000e+01
1619351400,6.1390000000e+01
1619351700,7.2733333333e+01
1619352000,6.0720000000e+01
1619352300,7.4836666667e+01
1619352600,7.0800000000e+01
1619352900,6.3416666667e+01
1619353200,6.2463333333e+01
1619353500,6.2090000000e+01
1619353800,6.1093333333e+01
1619354100,6.4676666667e+01
1619354400,6.1806666667e+01
1619354700,6.3016666667e+01
1619355000,6.6430000000e+01
1619355300,7.1976666667e+01
1619355600,6.1653333333e+01
1619355900,7.4633333333e+01
1619356200,6.2400000000e+01
1619356500,6.3260000000e+01
1619356800,6.0776666667e+01
1619357100,5.9523333333e+01
1619357400,7.1153333333e+01
1619357700,6.2823333333e+01
1619358000,6.0830000000e+01
1619358300,2.0275666667e+02
1619358600,6.0503333333e+01
1619358900,7.2396666667e+01
1619359200,6.0733333333e+01
1619359500,7.3740000000e+01
1619359800,6.0840000000e+01
1619360100,6.2960000000e+01
1619360400,6.0536666667e+01
1619360700,6.1900000000e+01
1619361000,6.0626666667e+01
1619361300,6.2390000000e+01
1619361600,6.3246666667e+01
1619361900,6.2473333333e+01
1619362200,6.0683333333e+01
1619362500,7.3056666667e+01
1619362800,6.1000000000e+01
1619363100,7.5460000000e+01
1619363400,6.1500000000e+01
1619363700,6.4000000000e+01
